gid,code,name,name_en,status,lon,lat
265,324,ขท.ภูเก็ต,PHUKET HIGHWAY DISTRICT,TRUE,98.395443,7.887769
297,423,ขท.จันทบุรี,CHANTHABURI HIGHWAY DISTRICT,TRUE,102.104605,12.615612
355,639,ขท.มุกดาหาร,MUKDAHAN HIGHWAY DISTRICT,TRUE,104.691864,16.52828
259,622,ขท.มหาสารคาม,MAHA SARAKHAM HIGHWAY DISTRICT,TRUE,103.290739,16.202623
412,638,ขท.ศรีสะเกษที่ 1,SI SA KET 1 HIGHWAY DISTRICT,TRUE,104.333501,15.099724
411,636,ขท.ศรีสะเกษที่ 2,SI SA KET 2 HIGHWAY DISTRICT,TRUE,104.6294444,15.8575
294,419,ขท.ธนบุรี,THON BURI HIGHWAY DISTRICT,TRUE,100.468999,13.788363
404,621,ขท.ขอนแก่นที่ 1,KHON KAEN 1 HIGHWAY DISTRICT,TRUE,102.806264,16.729855
439,627,ขท.ขอนแก่นที่ 2 (ชุมแพ),KHON KAEN 2 (CHUM PHAE) HIGHWAY DISTRICT,TRUE,102.0977366,16.54579701
440,628,ขท.ขอนแก่นที่ 3 (บ้านไผ่),KHON KAEN 3 (BAN PHAI) HIGHWAY DISTRICT,TRUE,102.7315538,16.05811107
428,333,ขท.ประจวบคีรีขันธ์ (หัวหิน),PRACHUAP KHIRI KHAN (HUA HIN) HIGHWAY DISTRICT,TRUE,99.95223986,12.57713445
449,618,ขท.ปราจีนบุรี,PRACHIN BURI HIGHWAY DISTRICT,TRUE,101.357236,14.056762
270,313,ขท.ปัตตานี,PATTANI HIGHWAY DISTRICT,TRUE,101.2466645,6.868325098
430,416,ขท.ปทุมธานี,PATHUM THANI HIGHWAY DISTRICT,TRUE,100.6175731,14.12586523
269,312,ขท.ยะลา,YALA HIGHWAY DISTRICT,TRUE,101.2888218,6.560214089
421,633,ขท.ยโสธร,YASOTHON HIGHWAY DISTRICT,TRUE,104.1583472,15.78181315
375,426,ขท.ระยอง,RAYONG HIGHWAY DISTRICT,TRUE,101.25824,12.688407
267,331,ขท.ระนอง,RANONG HIGHWAY DISTRICT,TRUE,131.244116,9.96623
429,335,ขท.ราชบุรี,RATCHABURI HIGHWAY DISTRICT,TRUE,99.791452,13.52509
261,635,ขท.ร้อยเอ็ด,ROI ET HIGHWAY DISTRICT,TRUE,151.217466,16.082762
390,523,ขท.ลำปางที่ 1,LAMPANG 1 HIGHWAY DISTRICT,TRUE,99.47583,21.276669
392,528,ขท.ลำปางที่ 2,LAMPANG 2 HIGHWAY DISTRICT,TRUE,99.477059,21.303444
322,524,ขท.ลำพูน,LAMPHUN HIGHWAY DISTRICT,TRUE,98.9976,21.56986
377,431,ขท.ลพบุรีที่ 1,LOP BURI 1 HIGHWAY DISTRICT,TRUE,100.6562962,14.79884831
431,435,ขท.ลพบุรีที่ 2 (ลำนารายณ์),LOP BURI 2 (LAM NARAI) HIGHWAY DISTRICT,TRUE,101.1314006,15.20864381
360,646,ขท.หนองคาย,NONG KHAI HIGHWAY DISTRICT ,TRUE,102.7148866,17.87662416
443,629,ขท.หนองบัวลำภู,NONG BUA LAM PHU HIGHWAY DISTRICT,TRUE,102.3969444,17.23638889
463,322,ขท.ตรัง,TRANG HIGHWAY DISTRICT,TRUE,99.601622,7.599758
374,425,ขท.ตราด,TRAT HIGHWAY DISTRICT,TRUE,102.4752879,12.30099854
363,512,ขท.ตากที่ 1,TAK 1 HIGHWAY DISTRICT ,TRUE,99.11265754,16.88202794
420,514,ขท.ตากที่ 2 (แม่สอด),TAK 2 (MAE SOT) HIGHWAY DISTRICT,TRUE,98.59341456,16.72212498
295,421,ขท.ฉะเชิงเทรา,CHACHOENGSAO HIGHWAY DISTRICT,TRUE,101.061634,13.694577
287,411,ขท.กรุงเทพ,BANGKOK HIGHWAY DISTRICT,TRUE,100.589077,13.895867
264,323,ขท.กระบี่,KRABI HIGHWAY DISTRICT,TRUE,98.914793,8.078799
262,647,ขท.กาฬสินธุ์,KALASIN HIGHWAY DISTRICT,TRUE,103.521068,16.417809
308,444,ขท.กาญจนบุรี,KANCHANABURI HIGHWAY DISTRICT,TRUE,99.50234446,14.05360064
258,517,ขท.กำแพงเพชร,KAMPHAENG PHET HIGHWAY DISTRICT,TRUE,99.50787463,16.43874136
405,623,ขท.อุดรธานีที่ 1,UDON THANI 1 HIGHWAY DISTRICT,TRUE,102.763356,17.387256
438,624,ขท.อุดรธานีที่ 2 (หนองหาน),UDON THANI 2 (NONG HAN) HIGHWAY DISTRICT,TRUE,103.15641,17.362513
386,557,ขท.อุตรดิตถ์ที่ 1,UTTARADIT 1 HIGHWAY DISTRICT,TRUE,100.0967231,17.63148298
387,558,ขท.อุตรดิตถ์ที่ 2,UTTARADIT 2 HIGHWAY DISTRICT,TRUE,100.1629115,17.67183839
311,447,ขท.อุทัยธานี,UTHAI THANI HIGHWAY DISTRICT,TRUE,100.0196782,15.40170836
409,631,ขท.อุบลราชธานีที่ 1,UBON RATCHATHANI 1 HIGHWAY DISTRICT,TRUE,104.521455,15.384187
410,632,ขท.อุบลราชธานีที่ 2,UBON RATCHATHANI 2 HIGHWAY DISTRICT,TRUE,105.059672,14.913539
446,413,ขท.อยุธยา,AYUTTHAYA HIGHWAY DISTRICT,TRUE,100.587945,14.352538
469,634,ขท.อำนาจเจริญ,AMNAT CHAROEN HIGHWAY DISTRICT,TRUE,104.630828,15.857589
312,448,ขท.อ่างทอง,ANG THONG HIGHWAY DISTRICT,TRUE,100.4518617,14.48684314
292,417,ขท.สมุทรปราการ,SAMUT PRAKAN HIGHWAY DISTRICT,TRUE,100.646141,13.668811
285,337,ขท.สมุทรสงคราม,SAMUT SONGKHRAM HIGHWAY DISTRICT,TRUE,99.988782,13.382648
290,415,ขท.สมุทรสาคร,SAMUT SAKHON HIGHWAY DISTRICT,TRUE,100.321722,13.70417
303,433,ขท.สิงห์บุรี,SING BURI HIGHWAY DISTRICT,TRUE,100.4468829,14.82442189
349,615,ขท.สุรินทร์,SURIN HIGHWAY DISTRICT,TRUE,103.501253,14.900121
424,325,ขท.สุราษฎร์ธานีที่ 1 (พุนพิน),SURAT THANI 1 (PHUNPHIN) HIGHWAY DISTRICT,TRUE,99.23453,9.10891
426,328,ขท.สุราษฎร์ธานีที่ 2 (กาญจนดิษฐ์),SURAT THANI 2 (KANCHANADIT) HIGHWAY DISTRICT,TRUE,99.52314053,9.157929283
427,329,ขท.สุราษฎร์ธานีที่ 3 (เวียงสระ),SURAT THANI 3 (WIANG SA) HIGHWAY DISTRICT,TRUE,99.351414,8.631399
381,441,ขท.สุพรรณบุรีที่ 1,SUPHAN BURI 1 HIGHWAY DISTRICT,TRUE,100.1218048,14.48220893
433,445,ขท.สุพรรณบุรีที่ 2 (อู่ทอง),SUPHAN BURI 2 (U THONG) HIGHWAY DISTRICT,TRUE,99.85461289,14.29395365
464,513,ขท.สุโขทัย,SUKHOTHAI HIGHWAY DISTRICT,TRUE,99.85844967,17.01819317
302,432,ขท.สระบุรี,SARABURI HIGHWAY DISTRICT,TRUE,100.9070913,14.54873416
437,619,ขท.สระแก้ว (วัฒนานคร),SA KAEO (WATTHANA NAKHON) HIGHWAY DISTRICT,TRUE,102.3217519,13.75573591
368,311,ขท.สงขลาที่ 1,SONGKHLA 1 HIGHWAY DISTRICT,TRUE,100.59346,7.20301
423,319,ขท.สงขลาที่ 2 (นาหม่อม),SONGKHLA 2 (NA MOM) HIGHWAY DISTRICT,TRUE,100.59345,7.20302
273,318,ขท.สตูล,SATUN HIGHWAY DISTRICT,TRUE,100.07185,6.67712
413,641,ขท.สกลนครที่ 1,SAKON NAKHON 1 HIGHWAY DISTRICT,TRUE,104.143065,17.170233
442,642,ขท.สกลนครที่ 2 (สว่างแดนดิน),SAKON NAKHON 2 (SAWANG DAEN DIN) HIGHWAY DISTRICT,TRUE,151.275181,17.47212759
419,332,ขท.ชุมพร,CHUMPHON HIGHWAY DISTRICT,TRUE,99.117568,10.550682
340,617,ขท.บุรีรัมย์,BURI RAM HIGHWAY DISTRICT,TRUE,103.092357,14.948785
373,422,ขท.ชลบุรีที่ 1,CHON BURI 1 HIGHWAY DISTRICT,TRUE,100.9888312,13.40414828
376,428,ขท.ชลบุรีที่ 2,CHON BURI 2 HIGHWAY DISTRICT,TRUE,100.915604,13.298757
346,626,ขท.ชัยภูมิ,CHAIYAPHUM HIGHWAY DISTRICT,TRUE,102.04521,15.820733
383,446,ขท.ชัยนาท,CHAI NAT HIGHWAY DISTRICT,TRUE,100.1291376,15.18952624
358,643,ขท.บึงกาฬ,BUENG KAN HIGHWAY DISTRICT,TRUE,103.621382,21.375799
444,321,ขท.นครศรีธรรมราชที่ 1,NAKHON SI THAMMARAT 1 HIGHWAY DISTRICT,TRUE,99.946816,8.434135
